crop,year,season,state,area,production,fertilizer,pesticide,yield,avg_temp_c,total_rainfall_mm,avg_humidity_percent,N,P,K,pH,solar_radiation,nasa_precipitation,nasa_humidity,nasa_temp_avg,nasa_temp_max,nasa_temp_min,NDVI,SAVI,GrNDVI,yield_log
Arecanut,2000,Whole Year,Andhra Pradesh,262.0,724,25720.54,68.12,2.78,27.74,1070.25,70.73,78,45,22,6.8,22.08,0.24,27.46,19.25,43.07,-5.23,0.421812317623121,0.272456272720092,0.488169367863946,1.3297240096314962
Arecanut,2001,Whole Year,Andhra Pradesh,268.0,449,27370.84,69.68,1.71,28.08,910.13,68.69,78,45,22,6.8,22.08,0.27,27.17,20.2,44.56,-6.48,0.409053118849408,0.263347436445669,0.487147124360006,0.9969486348916096
Arecanut,2002,Whole Year,Andhra Pradesh,296.0,427,28022.32,74.0,1.4525,28.54,768.22,66.52,78,45,22,6.8,22.58,0.28,29.2,19.62,42.96,-4.96,0.418435283861736,0.269093436042249,0.490732228050658,0.8971079124573811
Arecanut,2003,Whole Year,Andhra Pradesh,311.0,221,30782.78,74.64,0.704,28.31,857.23,68.83,78,45,22,6.8,21.74,0.34,30.0,19.34,45.89,-7.87,0.383560492404634,0.250671198208487,0.472710748986577,0.532978428407124
Arecanut,2005,Whole Year,Andhra Pradesh,293.0,234,35136.56,61.53,0.8025,27.95,1192.26,71.1,78,45,22,6.8,22.99,0.25,30.33,19.28,44.07,-6.4,0.404761606028734,0.262142936321858,0.482940747508332,0.589174590176967
Arecanut,2006,Whole Year,Andhra Pradesh,255.0,176,32566.05,56.1,0.685,27.65,1343.62,71.34,78,45,22,6.8,22.53,0.36,30.27,19.2,43.58,-5.73,0.444517916751198,0.284900282353256,0.502742607560546,0.521765563804325
Arecanut,2008,Whole Year,Andhra Pradesh,359.0,265,51351.36,32.31,0.915,27.71,1157.69,70.95,78,45,22,6.8,20.55,0.27,29.65,18.97,44.14,-11.03,0.450412669610075,0.287363167314044,0.504250124030163,0.6497176226326093
Arecanut,2009,Whole Year,Andhra Pradesh,386.0,198,60146.52,65.62,0.855,28.42,819.63,68.11,78,45,22,6.8,19.68,0.39,31.94,19.28,44.41,-4.98,0.412956983783836,0.263635946138875,0.488674499538552,0.6178846960593984
Arecanut,2010,Whole Year,Andhra Pradesh,438.0,195,72756.18,105.12,0.443333333,27.91,1557.24,73.66,78,45,22,6.8,20.89,0.22,27.01,20.14,45.28,-5.46,0.433828770551753,0.27978463832098,0.493177106997698,0.3669552531153419
Arecanut,2011,Whole Year,Andhra Pradesh,562.0,275,94146.24,185.46,0.296666667,27.96,730.18,68.3,78,45,22,6.8,20.71,0.26,31.06,19.37,44.11,-5.67,0.455915421609178,0.290124838988815,0.514768953367696,0.25979686921931466
Arecanut,2012,Kharif,Andhra Pradesh,581.0,365,87614.8,180.11,1.453333333,27.87,1192.65,70.2,78,45,22,6.8,21.82,0.45,32.3,18.47,44.57,-7.25,0.42621622475859,0.271881742129608,0.496235214987032,0.8974476439368057
Arecanut,2013,Kharif,Andhra Pradesh,476.0,255,68777.24,128.52,1.705,27.45,1279.53,72.34,78,45,22,6.8,21.55,0.29,30.28,19.36,44.99,-5.65,0.450893443517629,0.288401943957402,0.508286916344373,0.9951019122984449
Arecanut,2014,Kharif,Andhra Pradesh,483.0,338,72913.68,159.39,1.775,28.18,749.08,66.95,78,45,22,6.8,21.92,0.33,31.45,18.71,44.64,-6.96,0.447223958318894,0.284604833353363,0.508868600603397,1.0206507471983979
Arecanut,2015,Kharif,Andhra Pradesh,516.0,1795,81481.56,170.28,3.32,28.21,824.0,67.96,78,45,22,6.8,21.26,0.27,30.45,19.64,43.64,-4.99,0.445226959993265,0.284267323074824,0.509660055221076,1.463255402256019
Arecanut,2016,Kharif,Andhra Pradesh,564.0,2367,86433.0,197.4,3.9125,28.04,935.87,68.69,78,45,22,6.8,22.8,0.16,27.38,19.95,43.98,-6.01,0.420954373266911,0.270636045203873,0.494528477763559,1.5917829771953795
Arecanut,2017,Kharif,Andhra Pradesh,697.0,4369,109735.68,264.86,5.5825,28.14,991.2,69.86,78,45,22,6.8,22.49,0.23,27.94,19.68,44.31,-8.02,0.440340935998733,0.282317772016788,0.506081682876089,1.8844146123883274
Arecanut,2018,Kharif,Andhra Pradesh,976.0,5317,158307.2,341.6,4.153333333,28.18,927.05,67.4,78,45,22,6.8,20.09,0.39,30.95,19.72,43.19,-5.51,0.431308989322347,0.276106628857949,0.5035483185084,1.6396437544264832
Arecanut,2019,Kharif,Andhra Pradesh,1096.0,10418,188248.96,405.52,7.253333333,28.2,1027.8,71.25,78,45,22,6.8,20.4,0.52,33.0,19.46,45.96,-4.15,0.418683080193024,0.270967959078618,0.492430356949931,2.110617159107898
Arhar/Tur,1997,Kharif,Andhra Pradesh,313900.0,55600,29873863.0,97309.0,0.197727273,28.21,1191.08,69.56,78,45,22,6.8,22.08,0.24,27.46,19.25,43.07,-5.23,0.358337364932166,0.216236085168988,0.415732090801404,0.18042582185675948
Arhar/Tur,1997,Rabi,Andhra Pradesh,3500.0,1400,333095.0,1085.0,0.474,28.21,1191.08,69.56,78,45,22,6.8,22.08,0.24,27.46,19.25,43.07,-5.23,0.358337364932166,0.216236085168988,0.415732090801404,0.38797979376714486
Arhar/Tur,1998,Kharif,Andhra Pradesh,390800.0,169100,38611040.0,113332.0,0.461818182,28.21,1100.41,71.95,78,45,22,6.8,22.08,0.24,27.46,19.25,43.07,-5.23,0.326280875951071,0.208571821553579,0.389858609351306,0.3796809910768279
Arhar/Tur,1998,Rabi,Andhra Pradesh,3100.0,1600,306280.0,899.0,0.56,28.21,1100.41,71.95,78,45,22,6.8,22.08,0.24,27.46,19.25,43.07,-5.23,0.326280875951071,0.208571821553579,0.389858609351306,0.44468582126144574
Arhar/Tur,2000,Kharif,Andhra Pradesh,507366.0,216457,49808120.22,131915.16,0.433181818,27.74,1070.25,70.73,78,45,22,6.8,22.08,0.24,27.46,19.25,43.07,-5.23,0.421812317623121,0.272456272720092,0.488169367863946,0.3598970200717903
Arhar/Tur,2000,Rabi,Andhra Pradesh,6098.0,2701,598640.66,1585.48,0.42375,27.74,1070.25,70.73,78,45,22,6.8,22.08,0.24,27.46,19.25,43.07,-5.23,0.421812317623121,0.272456272720092,0.488169367863946,0.35329423577925484
Arhar/Tur,2001,Kharif,Andhra Pradesh,414401.0,185620,42322774.13,107744.26,0.465,28.08,910.13,68.69,78,45,22,6.8,22.08,0.27,27.17,20.2,44.56,-6.48,0.409053118849408,0.263347436445669,0.487147124360006,0.38185524246903063
Arhar/Tur,2001,Rabi,Andhra Pradesh,5439.0,2706,555485.07,1414.14,0.46,28.08,910.13,68.69,78,45,22,6.8,22.08,0.27,27.17,20.2,44.56,-6.48,0.409053118849408,0.263347436445669,0.487147124360006,0.3784364357202451
Arhar/Tur,2002,Kharif,Andhra Pradesh,423436.0,147361,40086686.12,105859.0,0.337727273,28.54,768.22,66.52,78,45,22,6.8,22.58,0.28,29.2,19.62,42.96,-4.96,0.418435283861736,0.269093436042249,0.490732228050658,0.2909721090909391
Arhar/Tur,2002,Rabi,Andhra Pradesh,8200.0,3004,776294.0,2050.0,0.299333333,28.54,768.22,66.52,78,45,22,6.8,22.58,0.28,29.2,19.62,42.96,-4.96,0.418435283861736,0.269093436042249,0.490732228050658,0.26185131216071755
Arhar/Tur,2003,Kharif,Andhra Pradesh,513239.0,214657,50800396.22,123177.36,0.424090909,28.31,857.23,68.83,78,45,22,6.8,21.74,0.34,30.0,19.34,45.89,-7.87,0.383560492404634,0.250671198208487,0.472710748986577,0.35353365154194794
Arhar/Tur,2003,Rabi,Andhra Pradesh,7492.0,3246,741558.16,1798.08,0.41625,28.31,857.23,68.83,78,45,22,6.8,21.74,0.34,30.0,19.34,45.89,-7.87,0.383560492404634,0.250671198208487,0.472710748986577,0.34801253336007903
Arhar/Tur,2004,Kharif,Andhra Pradesh,471825.0,215214,51117520.5,99083.25,0.479090909,27.72,759.1,69.79,78,45,22,6.8,22.42,0.48,29.96,19.38,44.33,-4.36,0.429392228448904,0.273322630837382,0.496087693994138,0.3914276483711131
Arhar/Tur,2004,Rabi,Andhra Pradesh,8452.0,3792,915689.68,1774.92,0.485,27.72,759.1,69.79,78,45,22,6.8,22.42,0.48,29.96,19.38,44.33,-4.36,0.429392228448904,0.273322630837382,0.496087693994138,0.3954147722546629
Arhar/Tur,2005,Kharif,Andhra Pradesh,494523.0,300636,59303198.16,103849.83,0.554545455,27.95,1192.26,71.1,78,45,22,6.8,22.99,0.25,30.33,19.28,44.07,-6.4,0.404761606028734,0.262142936321858,0.482940747508332,0.44118319100264125
Arhar/Tur,2006,Kharif,Andhra Pradesh,395644.0,157669,50527695.24,87041.68,0.420454545,27.65,1343.62,71.34,78,45,22,6.8,22.53,0.36,30.27,19.2,43.58,-5.73,0.444517916751198,0.284900282353256,0.502742607560546,0.3509769225040947
Arhar/Tur,2006,Rabi,Andhra Pradesh,5606.0,3174,715942.26,1233.32,0.433333333,27.65,1343.62,71.34,78,45,22,6.8,22.53,0.36,30.27,19.2,43.58,-5.73,0.444517916751198,0.284900282353256,0.502742607560546,0.3600027337988489
Arhar/Tur,2007,Kharif,Andhra Pradesh,463000.0,302000,61764200.0,74080.0,0.635714286,27.44,1067.72,72.52,78,45,22,6.8,22.55,0.31,30.28,18.61,44.45,-5.54,0.422239973794801,0.2726197591217,0.49415098846356,0.49207958111960787
Arhar/Tur,2008,Kharif,Andhra Pradesh,439248.0,199414,62830033.92,39532.32,0.530909091,27.71,1157.69,70.95,78,45,22,6.8,20.55,0.27,29.65,18.97,44.14,-11.03,0.450412669610075,0.287363167314044,0.504250124030163,0.42586173607519257
Arhar/Tur,2008,Rabi,Andhra Pradesh,3466.0,1942,495776.64,311.94,0.56,27.71,1157.69,70.95,78,45,22,6.8,20.55,0.27,29.65,18.97,44.14,-11.03,0.450412669610075,0.287363167314044,0.504250124030163,0.44468582126144574
Arhar/Tur,2009,Kharif,Andhra Pradesh,438392.0,189677,68310241.44,74526.64,0.525909091,28.42,819.63,68.11,78,45,22,6.8,19.68,0.39,31.94,19.28,44.41,-4.98,0.412956983783836,0.263635946138875,0.488674499538552,0.42259035769320474
Arhar/Tur,2009,Rabi,Andhra Pradesh,24895.0,13266,3879138.9,4232.15,0.52,28.42,819.63,68.11,78,45,22,6.8,19.68,0.39,31.94,19.28,44.41,-4.98,0.412956983783836,0.263635946138875,0.488674499538552,0.41871033485818504
Arhar/Tur,2010,Kharif,Andhra Pradesh,629980.0,261286,104645977.8,151195.2,0.466363636,27.91,1557.24,73.66,78,45,22,6.8,20.89,0.22,27.01,20.14,45.28,-5.46,0.433828770551753,0.27978463832098,0.493177106997698,0.3827856190907618
Arhar/Tur,2010,Rabi,Andhra Pradesh,8123.0,4101,1349311.53,1949.52,0.483333333,27.91,1557.24,73.66,78,45,22,6.8,20.89,0.22,27.01,20.14,45.28,-5.46,0.433828770551753,0.27978463832098,0.493177106997698,0.39429180728532004
Arhar/Tur,2011,Kharif,Andhra Pradesh,478657.0,144679,80184620.64,157956.81,0.435454545,27.96,730.18,68.3,78,45,22,6.8,20.71,0.26,31.06,19.37,44.11,-5.67,0.455915421609178,0.290124838988815,0.514768953367696,0.36148155515252406
Arhar/Tur,2011,Rabi,Andhra Pradesh,2841.0,1409,475924.32,937.53,0.455294118,27.96,730.18,68.3,78,45,22,6.8,20.71,0.26,31.06,19.37,44.11,-5.67,0.455915421609178,0.290124838988815,0.514768953367696,0.375208023150648
Arhar/Tur,2012,Kharif,Andhra Pradesh,480000.0,251000,72384000.0,148800.0,0.5885,27.87,1192.65,70.2,78,45,22,6.8,21.82,0.45,32.3,18.47,44.57,-7.25,0.42621622475859,0.271881742129608,0.496235214987032,0.4627901747274338
Arhar/Tur,2013,Kharif,Andhra Pradesh,182826.0,102954,26416528.74,49363.02,0.696923077,27.45,1279.53,72.34,78,45,22,6.8,21.55,0.29,30.28,19.36,44.99,-5.65,0.450893443517629,0.288401943957402,0.508286916344373,0.5288166564091505
Arhar/Tur,2013,Rabi,Andhra Pradesh,1298.0,1003,187548.02,350.46,0.736,27.45,1279.53,72.34,78,45,22,6.8,21.55,0.29,30.28,19.36,44.99,-5.65,0.450893443517629,0.288401943957402,0.508286916344373,0.5515836162381584
Arhar/Tur,2014,Kharif,Andhra Pradesh,148980.0,74560,22490020.8,49163.4,0.634615385,28.18,749.08,66.95,78,45,22,6.8,21.92,0.33,31.45,18.71,44.64,-6.96,0.447223958318894,0.284604833353363,0.508868600603397,0.49140753814418325
